competition,season_name,stage_name,round_name,home_team_id,away_team_id,kickoff_utc,stadium_id,attendance,fixture_status,ht_home_score,ht_away_score,ft_home_score,ft_away_score
Bundesliga,2024/25,Regular Season,Matchday 1,Borussia Mönchengladbach,Bayer 04 Leverkusen,2024-08-23T14:30:00+02:00,,,played,,,2,3
Bundesliga,2024/25,Regular Season,Matchday 1,FC Augsburg,SV Werder Bremen,2024-08-24T09:30:00+02:00,,,played,,,2,2
Bundesliga,2024/25,Regular Season,Matchday 1,1. FSV Mainz 05,Union Berlin,2024-08-24T09:30:00+02:00,,,played,,,1,1
Bundesliga,2024/25,Regular Season,Matchday 1,TSG 1899 Hoffenheim,Holstein Kiel,2024-08-24T09:30:00+02:00,,,played,,,3,2
Bundesliga,2024/25,Regular Season,Matchday 1,SC Freiburg,VfB Stuttgart,2024-08-24T09:30:00+02:00,,,played,,,3,1
Bundesliga,2024/25,Regular Season,Matchday 1,RB Leipzig,VfL Bochum 1848,2024-08-24T09:30:00+02:00,,,played,,,1,0
Bundesliga,2024/25,Regular Season,Matchday 1,Borussia Dortmund,Eintracht Frankfurt,2024-08-24T12:30:00+02:00,,,played,,,2,0
Bundesliga,2024/25,Regular Season,Matchday 1,VfL Wolfsburg,FC Bayern München,2024-08-25T09:30:00+02:00,,,played,,,2,3
Bundesliga,2024/25,Regular Season,Matchday 1,St. Pauli,1. FC Heidenheim 1846,2024-08-25T11:30:00+02:00,,,played,,,0,2
Bundesliga,2024/25,Regular Season,Matchday 2,Union Berlin,St. Pauli,2024-08-30T14:30:00+02:00,,,played,,,1,0
Bundesliga,2024/25,Regular Season,Matchday 2,VfL Bochum 1848,Borussia Mönchengladbach,2024-08-31T09:30:00+02:00,,,played,,,0,2
Bundesliga,2024/25,Regular Season,Matchday 2,VfB Stuttgart,1. FSV Mainz 05,2024-08-31T09:30:00+02:00,,,played,,,3,3
Bundesliga,2024/25,Regular Season,Matchday 2,Holstein Kiel,VfL Wolfsburg,2024-08-31T09:30:00+02:00,,,played,,,0,2
Bundesliga,2024/25,Regular Season,Matchday 2,Eintracht Frankfurt,TSG 1899 Hoffenheim,2024-08-31T09:30:00+02:00,,,played,,,3,1
Bundesliga,2024/25,Regular Season,Matchday 2,SV Werder Bremen,Borussia Dortmund,2024-08-31T09:30:00+02:00,,,played,,,0,0
Bundesliga,2024/25,Regular Season,Matchday 2,Bayer 04 Leverkusen,RB Leipzig,2024-08-31T12:30:00+02:00,,,played,,,2,3
