competition,season_name,stage_name,round_name,home_team_id,away_team_id,kickoff_utc,stadium_id,attendance,ft_home_score,ft_away_score,et_home_score,et_away_score,pen_home_score,pen_away_score,went_to_extra_time,went_to_penalties,winner
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 1st Leg,FC Porto,Arsenal F.C.,2024-02-21T21:00:00+01:00,,49111,1,0,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 2st Leg,Arsenal F.C.,FC Porto,2024-03-12T21:00:00+01:00,,60257,1,0,,,4,2,true,true,
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 1st Leg,SSC Napoli,FC Barcelona,2024-02-21T21:00:00+01:00,,49529,1,1,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 2st Leg,FC Barcelona,SSC Napoli,2024-03-12T21:00:00+01:00,Estadi Olímpic Lluís Companys,50301,3,1,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 1st Leg,Paris Saint-Germain,Real Sociedad,2024-02-14T21:00:00+01:00,,46435,2,0,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 2st Leg,Real Sociedad,Paris Saint-Germain,2024-03-05T21:00:00+01:00,,39336,1,2,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 1st Leg,Inter Milan,Atlético Madrid,2024-02-20T21:00:00+01:00,,73709,1,0,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 2st Leg,Atlético Madrid,Inter Milan,2024-03-13T21:00:00+01:00,,69196,2,1,,,3,2,true,true,
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 1st Leg,PSV Eindhoven,Borussia Dortmund,2024-02-20T21:00:00+01:00,,34950,1,1,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 2st Leg,Borussia Dortmund,PSV Eindhoven,2024-03-13T21:00:00+01:00,,81365,2,0,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 1st Leg,SS Lazio,FC Bayern München,2024-02-14T21:00:00+01:00,,57470,1,0,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 2st Leg,FC Bayern München,SS Lazio,2024-03-05T21:00:00+01:00,,75000,3,0,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 1st Leg,F.C. Copenhagen,Manchester City F.C.,2024-02-13T21:00:00+01:00,,35853,1,3,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 2st Leg,Manchester City F.C.,F.C. Copenhagen,2024-03-06T21:00:00+01:00,,51531,3,1,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 1st Leg,RB Leipzig,Real Madrid,2024-02-13T21:00:00+01:00,,45028,0,1,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 2st Leg,Real Madrid,RB Leipzig,2024-03-06T21:00:00+01:00,,76126,1,1,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Quarter-finals - 1st Leg,Arsenal F.C.,FC Bayern München,2024-04-09T21:00:00+01:00,,60221,2,2,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Quarter-finals - 2st Leg,FC Bayern München,Arsenal F.C.,2024-04-17T21:00:00+01:00,,75000,1,0,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Quarter-finals - 1st Leg,Atlético Madrid,Borussia Dortmund,2024-04-10T21:00:00+01:00,,68641,2,1,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Quarter-finals - 2st Leg,Borussia Dortmund,Atlético Madrid,2024-04-16T21:00:00+01:00,,81365,4,2,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Quarter-finals - 1st Leg,Real Madrid,Manchester City F.C.,2024-04-09T21:00:00+01:00,,76680,3,3,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Quarter-finals - 2st Leg,Manchester City F.C.,Real Madrid,2024-04-17T21:00:00+01:00,,52306,1,1,,,3,4,true,true,
UEFA Champions League,2023/24,Knockout Phase,Quarter-finals - 1st Leg,Paris Saint-Germain,FC Barcelona,2024-04-10T21:00:00+01:00,,47470,2,3,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Quarter-finals - 2st Leg,FC Barcelona,Paris Saint-Germain,2024-04-16T21:00:00+01:00,Estadi Olímpic Lluís Companys,50309,1,4,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Semi-finals - 1st Leg,Borussia Dortmund,Paris Saint-Germain,2024-05-01T21:00:00+01:00,,81365,1,0,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Semi-finals - 2st Leg,Paris Saint-Germain,Borussia Dortmund,2024-05-07T21:00:00+01:00,,46435,0,1,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Semi-finals - 1st Leg,FC Bayern München,Real Madrid,2024-04-30T21:00:00+01:00,,75000,2,2,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Semi-finals - 2st Leg,Real Madrid,FC Bayern München,2024-05-08T21:00:00+01:00,,76579,2,1,,,,,false,false,
UEFA Champions League,2023/24,Knockout Phase,Final,Borussia Dortmund,Real Madrid,2024-06-01T21:00:00+01:00,Wembley Stadium,86212,0,2,,,,,false,false,Real Madrid
