Name,Nation,Division,Unique ID,Division ID
Shqiponja,Algeria,Pro League,66,1
Kotayk,Algeria,Pro League,101,1
Tsement Ararat,Algeria,Pro League,104,1
Admira Vienna,Algeria,Pro League,147,1
SCN Admira Wacker,Algeria,Pro League,149,1
FC Tirol Innsbruck,Algeria,Pro League,150,1
FC Linz,Algeria,Pro League,151,1
Grazer AK,Algeria,Pro League,153,1
VfB Modling,Algeria,Pro League,161,1
AA Gent,Belgium,Pro League,168,1
La Louviere,Algeria,Pro League,169,1
ACHE,Algeria,Pro League,170,1
Mons,Belgium,Pro League,171,1
Aarschot,Algeria,Pro League,174,1
Beerschot,Algeria,Pro League,176,1
Cercle Brugge,Belgium,Pro League,184,1
Club Brugge,Belgium,Pro League,186,1
Hekelgem,Algeria,Pro League,191,1
Mouscron,Algeria,Pro League,195,1
Rita Berlaar,Algeria,Pro League,209,1
Seraing 1904,Algeria,Pro League,211,1
Tielen,Algeria,Pro League,213,1
Germinal Ekeren,Algeria,Pro League,218,1
Jemappes,Algeria,Pro League,226,1
Geel,Algeria,Pro League,227,1
KV Mechelen,Belgium,Pro League,232,1
Lombeek,Algeria,Pro League,236,1
Looi Sport,Algeria,Pro League,237,1
Marchienne,Algeria,Pro League,240,1
Overpelt,Algeria,Pro League,247,1
Prayon,Algeria,Pro League,249,1
Standard,Belgium,Pro League,250,1
Harelbeke,Algeria,Pro League,252,1
Anderlecht,Belgium,Pro League,256,1
Genk,Belgium,Pro League,258,1
Antwerp,Belgium,Pro League,262,1
Charleroi,Belgium,Pro League,263,1
Lokeren,Belgium,Pro League,265,1
Beveren,Algeria,Pro League,266,1
Lierse,Belgium,Pro League,268,1
KFC Lommelse SK,Algeria,Pro League,269,1
SK Roeselare,Algeria,Pro League,270,1
Sint-Niklaas SK,Algeria,Pro League,272,1
Mol,Algeria,Pro League,274,1
Waregem,Algeria,Pro League,275,1
SVD Handzame,Algeria,Pro League,277,1
US Tournai,Algeria,Pro League,286,1
Westerlo,Belgium,Pro League,289,1
Wezel,Algeria,Pro League,296,1
Zulte Waregem,Belgium,Pro League,299,1
Ataka-Aura,Algeria,Pro League,301,1
Dinamo-93,Algeria,Pro League,304,1
Dvina Vitebsk,Algeria,Pro League,305,1
MPKC,Algeria,Pro League,306,1
Torpedo Minsk,Algeria,Pro League,308,1
Botev 1912 (Plovdiv),Algeria,Pro League,342,1
Dobrudzha,Algeria,Pro League,345,1
Etar,Algeria,Pro League,346,1
Naftex,Algeria,Pro League,347,1
Shumen,Algeria,Pro League,355,1
Spartak (V),Algeria,Pro League,358,1
Olympic Mvolye,Algeria,Pro League,396,1
San Pablo,Algeria,Pro League,402,1
Dalian,Algeria,Pro League,407,1
Hongyuan,Algeria,Pro League,408,1
INKER,Algeria,Pro League,437,1
Pezoporikos,Algeria,Pro League,462,1
Svarc Benesov,Algeria,Pro League,469,1
FC Aarhus,Algeria,Pro League,485,1
Glostrup,Algeria,Pro League,510,1
Haderslev,Algeria,Pro League,513,1
Herfolge,Algeria,Pro League,517,1
Holb?k,Algeria,Pro League,522,1
Koge,Algeria,Pro League,531,1
Olstykke,Algeria,Pro League,572,1
Meadowbank,Algeria,Pro League,580,1
Monaghan Utd,Ireland,Pro League,595,1
Atherstone Utd,Algeria,Pro League,604,1
Bromsgrove,Algeria,Pro League,621,1
Chester City,Algeria,Pro League,633,1
Farnborough T,Algeria,Pro League,652,1
Halifax,Algeria,Pro League,660,1
Merthyr,Algeria,Pro League,684,1
Runcorn,Algeria,Pro League,705,1
Scarborough,Algeria,Pro League,706,1
Telford,Algeria,Pro League,726,1
Wimbledon,Algeria,Pro League,738,1
GI,Algeria,Pro League,804,1
Tampere Utd,Algeria,Pro League,809,1
Porin Jazz,Algeria,Pro League,810,1
FinnPa,Algeria,Pro League,815,1
FC Mikkeli,Algeria,Pro League,819,1
TPV Tampere,Algeria,Pro League,823,1
ASOA Valence,Algeria,Pro League,829,1
FCM Aubervilliers,France,Pro League,832,1
FCO Charleville-Mezieres,Algeria,Pro League,864,1
Poitiers Football 2006,Algeria,Pro League,883,1
Olimpi Rustavi,Algeria,Pro League,896,1
Iberia Samtredia,Algeria,Pro League,897,1
VfB Leipzig,Algeria,Pro League,962,1
Haarlem,Algeria,Pro League,1.016,1
RBC,Algeria,Pro League,1.031,1
TONEGIDO,Algeria,Pro League,1.041,1
EMDSZ - Soproni LC,Algeria,Pro League,1.053,1
Stadler FC,Algeria,Pro League,1.058,1
Leiftur/Dalvik,Algeria,Pro League,1.077,1
Mastrans,Algeria,Pro League,1.081,1
Beitar/Shimshon Tel-Aviv,Algeria,Pro League,1.084,1
Hapoel Beit-She'an,Algeria,Pro League,1.086,1
Nuova Avezzano,Algeria,Pro League,1.109,1
Castel di Sangro,Algeria,Pro League,1.118,1
Atletico Roma,Algeria,Pro League,1.143,1
Lucchese Libertas,Algeria,Pro League,1.144,1
Saronno,Algeria,Pro League,1.168,1
Flugels,Algeria,Pro League,1.197,1
Marinos,Algeria,Pro League,1.2,1
Paneris,Algeria,Pro League,1.215,1
ROMAR,Algeria,Pro League,1.216,1
Ljuboten,Algeria,Pro League,1.233,1
At. Celaya,Algeria,Pro League,1.252,1
Constructorul Chisinau,Algeria,Pro League,1.261,1
MHM-93,Algeria,Pro League,1.262,1
Sportul Studentesc,Algeria,Pro League,1.266,1
Tiligul,Algeria,Pro League,1.267,1
Omagh,Algeria,Pro League,1.287,1
Fyllingen,Algeria,Pro League,1.314,1
Gevir,Algeria,Pro League,1.315,1
Lillehammer FK (EXT),Algeria,Pro League,1.34,1
Lov-Ham,Algeria,Pro League,1.348,1
Mjolner Narvik,Algeria,Pro League,1.35,1
Skjetten SK,Algeria,Pro League,1.39,1
Stord T&IL,Algeria,Pro League,1.4,1
Tornado,Algeria,Pro League,1.408,1
Vedavag,Algeria,Pro League,1.417,1
Deportivo Sipesa,Algeria,Pro League,1.447,1
OKS Olsztyn,Algeria,Pro League,1.465,1
Dyskobolia,Algeria,Pro League,1.466,1
Estrela Amadora,Portugal,Pro League,1.473,1
Taifa,Algeria,Pro League,1.492,1
CF Sibiu,Algeria,Pro League,1.505,1
Progresul,Algeria,Pro League,1.509,1
U Craiova,Algeria,Pro League,1.516,1
Asmaral,Algeria,Pro League,1.517,1
Dinamo Stavropol,Algeria,Pro League,1.521,1
Lokomotiv NN,Algeria,Pro League,1.526,1
Moscow,Algeria,Pro League,1.532,1
Zhemchuzhina,Algeria,Pro League,1.534,1
Airdrieonians,Algeria,Pro League,1.537,1
Edinburgh Uni. AFC,Algeria,Pro League,1.561,1
Girvan FC,Algeria,Pro League,1.568,1
Balestier Central,Algeria,Pro League,1.604,1
Geylang Utd,Algeria,Pro League,1.605,1
SAFFC,Algeria,Pro League,1.608,1
Tiong Bahru Utd,Algeria,Pro League,1.61,1
1.FC Kosice,Algeria,Pro League,1.616,1
C.D. Badajoz S.A.D.,Algeria,Pro League,1.677,1
C.D. Logrones,Spain,Pro League,1.679,1
C.D. Logrones B,Algeria,Pro League,1.694,1
C.P. Merida,Algeria,Pro League,1.719,1
U.E. Figueres S.A.D.,Algeria,Pro League,1.766,1
Lleida,Algeria,Pro League,1.769,1
Gimonas CK,Algeria,Pro League,1.793,1
Lulea FF,Algeria,Pro League,1.812,1
Lundby,Algeria,Pro League,1.815,1
Vasalunds IF (EXT),Algeria,Pro League,1.835,1
Vasby IK,Algeria,Pro League,1.837,1
