association,country,name,type,tier,cup_rank,gender,age_group,status,notes,logo_filename
AFC,,AFC Champions League,cup,1st-tier,Clubs,Men,Senior,,,asia_afc_champions_league.png
AFC,,AFC Champions League Two,cup,2nd-tier,Clubs,Men,Senior,,,asia_afc_champions_league_two.png
AFC,,AFC Cup,cup,2nd-tier,Clubs,Men,Senior,defunct,Replaced by AFC Champions League Two,asia_afc_cup.png
AFC,,AFC Challenge League,cup,3rd-tier,Clubs,Men,Senior,,,asia_afc_challenge_league.png
AFC,,AFC Women's Champions League,cup,,Clubs,Women,Senior,,,asia_afc_women_s_champions_league.png
AFC,,AFC President's Cup,cup,,Clubs,Men,Senior,defunct,Replaced by AFC Challenge League,asia_afc_president_s_cup.png
AFC,Malaysia,Piala Malaysia,cup,,Domestic Cup,Men,Senior,,,malaysia_piala_malaysia.png
AFC,Bahrain,BFA Cup,cup,,Domestic Cup,Men,Senior,,,bahrain_bfa_cup.png
AFC,Bangladesh,Federation Cup,cup,,League cup,Men,Senior,,,bangladesh_federation_cup.png
AFC,Cambodia,Cambodia League Cup,cup,,League cup,Men,Senior,,,cambodia_cambodia_league_cup.png
AFC,Hong Kong,HK Senior Challenge Shield,cup,,League cup,Men,Senior,,,hong_kong_sar_hk_senior_challenge_shield.png
AFC,Japan,J.League Cup,cup,,League cup,Men,Senior,,,japan_j_league_cup.png
AFC,Jordan,Jordan FA Shield,cup,,League cup,Men,Senior,,,jordan_jordan_fa_shield.png
AFC,Kuwait,Federation Cup,cup,,League cup,Men,Senior,,,kuwait_federation_cup.png
AFC,Lebanon,Lebanese Federation Cup,cup,,League cup,Men,Senior,,,lebanon_lebanese_federation_cup.png
AFC,Maldives,Maldives President Cup,cup,,League cup,Men,Senior,,,maldives_maldives_president_cup.png
AFC,Nepal,Nepal Super League,cup,,League cup,Men,Senior,,,nepal_nepal_super_league.png
AFC,Oman,Jetour Cup,cup,,League cup,Men,Senior,,,oman_oman_fa_cup.png
AFC,Saudi Arabia,Crown Prince Cup,cup,,League cup,Men,Senior,,,saudi_arabia_crown_prince_cup.png
AFC,Singapore,Singapore League Cup,cup,,League cup,Men,Senior,,,singapore_singapore_league_cup.png
AFC,UAE,League Cup,cup,,League cup,Men,Senior,,,united_arab_emirates_league_cup.png
AFC,Kuwait,Emir Cup,cup,,Domestic Cup,Men,Senior,,,kuwait_emir_cup.png
AFC,Australia,Australia Cup,cup,,National Cup,Men,Senior,,,australia_australia_cup.png
AFC,Bahrain,King's Cup,cup,,National Cup,Men,Senior,,,bahrain_king_s_cup.png
AFC,Bangladesh,Independence Cup,cup,,National Cup,Men,Senior,,,bangladesh_independence_cup.png
AFC,Brunei,FA Cup,cup,,National Cup,Men,Senior,,,brunei_darussalam_fa_cup.png
AFC,Cambodia,Hun Sen Cup,cup,,National Cup,Men,Senior,,,cambodia_hun_sen_cup.png
AFC,China PR,China FA Cup,cup,,National Cup,Men,Senior,,,china_pr_china_fa_cup.png
AFC,Ghana,FA Cup,cup,,National Cup,Men,Senior,,,ghana_fa_cup.png
AFC,Guinea,Coupe de la Ligue,cup,,National Cup,Men,Senior,,,guinea_coupe_de_la_ligue.png
AFC,Hong Kong,Hong Kong FA Cup,cup,,National Cup,Men,Senior,,,hong_kong_sar_hong_kong_fa_cup.png
AFC,India,Federation Cup,cup,,National Cup,Men,Senior,,,india_federation_cup.png
AFC,Indonesia,Piala Presiden,cup,,National Cup,Men,Senior,,,indonesia_piala_presiden.png
AFC,Iran,Hazfi Cup,cup,,National Cup,Men,Senior,,,iran/ir_iran_hazfi_cup.png
AFC,Iraq,Iraqi FA Cup,cup,,National Cup,Men,Senior,,,iraq_iraqi_fa_cup.png
AFC,Japan,Emperor's Cup,cup,,National Cup,Men,Senior,,,japan_emperor_s_cup.png
AFC,Jordan,Jordan Cup,cup,,National Cup,Men,Senior,,,jordan_jordan_cup.png
AFC,South Korea,Korean FA Cup,cup,,National Cup,Men,Senior,,,korea_republic_korean_fa_cup.png
AFC,Kuwait,Crown Prince Cup,cup,,National Cup,Men,Senior,,,kuwait_crown_prince_cup.png
AFC,Kyrgyzstan,Kubok Kırgızskoy Respubliki,cup,,National Cup,Men,Senior,,,kyrgyz_republic_kubok_krgzskoy_respubliki.png
AFC,Laos,LFF Cup,cup,,National Cup,Men,Senior,,,lao_pdr_lff_cup.png
AFC,Lebanon,Lebanese Cup,cup,,National Cup,Men,Senior,,,lebanon_lebanese_cup.png
AFC,Lebanon,Lebanese Women's Cup,cup,,National Cup,Women,Senior,,,lebanon_lebanese_women_s_cup.png
AFC,Lebanon,Lebanese U19 Women's Cup,cup,,National Cup,Women,Youth,,,lebanon_lebanese_u19_women_s_cup.png
AFC,Macau,FA Cup,cup,,National Cup,Men,Senior,,,macau_fa_cup.png
AFC,Malaysia,Piala FA,cup,,National Cup,Men,Senior,,,malaysia_piala_fa.png
AFC,Myanmar,MFF Cup,cup,,National Cup,Men,Senior,,,myanmar_mff_cup.png
AFC,Nepal,Ncell Cup,cup,,National Cup,Men,Senior,,,nepal_ncell_cup.png
AFC,Oman,His Majesty's Cup,cup,,National Cup,Men,Senior,,,oman_his_majesty_s_cup.png
AFC,Pakistan,National Challenge Cup,cup,,National Cup,Men,Senior,,,pakistan_national_challenge_cup.png
AFC,Philippines,Copa Paulino Alcantara,cup,,National Cup,Men,Senior,,,philippines_copa_paulino_alcantara.png
AFC,Qatar,Emir Cup,cup,,National Cup,Men,Senior,,,qatar_emir_cup.png
AFC,Saudi Arabia,King Cup,cup,,National Cup,Men,Senior,,,saudi_arabia_king_cup.png
AFC,Saudi Arabia,Saudi Women's Cup,cup,,National Cup,Women,Senior,,,saudi_arabia_saudi_women_s_cup.png
AFC,Singapore,Singapore Cup,cup,,National Cup,Men,Senior,,,singapore_singapore_cup.png
AFC,Tajikistan,Çomi Toçikiston,cup,,National Cup,Men,Senior,,,tajikistan_comi_tocikiston.png
AFC,Thailand,Thai FA Cup,cup,,National Cup,Men,Senior,,,thailand_thai_fa_cup.png
AFC,Turkmenistan,Türkmenistanyň kubogy,cup,,National Cup,Men,Senior,,,turkmenistan_turkmenistanyn_kubogy.png
AFC,UAE,FA Cup,cup,,National Cup,Men,Senior,,,united_arab_emirates_fa_cup.png
AFC,UAE,Presidents Cup,cup,,National Cup,Men,Senior,,,united_arab_emirates_presidents_cup.png
AFC,Uzbekistan,Oʻzbekiston Superkubogi,cup,,National Cup,Men,Senior,,,uzbekistan_ozbekiston_superkubogi.png
AFC,Uzbekistan,O‘zbekiston Ayollar Kubogi,cup,,National Cup,Women,Senior,,,uzbekistan_ozbekiston_ayollar_kubogi.png
AFC,Vietnam,Cúp Quốc Gia,cup,,National Cup,Men,Senior,,,vietnam_cup_quoc_gia.png
AFC,Yemen,President's Cup,cup,,National Cup,Men,Senior,,,yemen_president_s_cup.png
AFC,,AFC Asian Cup,cup,,National Teams,Men,Senior,,Qualification is linked with AFC Asian Qualifiers for the FIFA World Cup,asia_afc_asian_cup.png
AFC,,AFC Asian Cup Qualification,qualifiers,,National Teams,Men,Senior,,Qualifiers for AFC Asian Cup,asia_afc_asian_cup_qualification.png
AFC,,WC Qualification,qualifiers,,National Teams,Men,Senior,,Qualifiers for World Cup,asia_wc_qualification.png
AFC,,AFC Challenge Cup,cup,,National Teams,Men,Senior,defunct,,asia_afc_challenge_cup.png
AFC,,Asian Games,cup,,National Teams,Men,Senior,,,asia_asian_games.png
AFC,,AFC U-23 Asian Cup,cup,,National Teams,Men,Youth,,Linked with Qualifiers for the Men's Olympic Football Tournament,asia_afc_u_23_asian_cup.png
AFC,,AFC U-23 Asian Cup Qualifiers,qualifiers,,National Teams,Men,Youth,,Qualifiers for AFC U-23 Asian Cup,asia_afc_u_23_asian_cup_qualifiers.png
AFC,,AFC U-20 Asian Cup,cup,,National Teams,Men,Youth,,,asia_afc_u_20_asian_cup.png
AFC,,AFC U-20 Asian Cup Qualifiers,qualifiers,,National Teams,Men,Youth,,Qualifiers for AFC U-20 Asian Cup,asia_afc_u_20_asian_cup_qualifiers.png
AFC,,AFC U-17 Asian Cup,cup,,National Teams,Men,Youth,,,asia_afc_u_17_asian_cup.png
AFC,,AFC U-17 Asian Cup Qualifiers,qualifiers,,National Teams,Men,Youth,,Qualifiers for AFC U-17 Asian Cup,asia_afc_u_17_asian_cup_qualifiers.png
AFC,,AFC Solidarity Cup,cup,,National Teams,Men,Senior,defunct,,asia_afc_solidarity_cup.png
AFC,,AFC Women's Asian Cup,cup,,National Teams,Women,Senior,,,asia_afc_women_s_asian_cup.png
AFC,,AFC Women's Asian Cup Qualification,qualifiers,,National Teams,Women,Senior,,Qualifiers for AFC Women's Asian Cup,asia_afc_women_s_asian_cup_qualification.png
AFC,,AFC Women's Olympic Qualifying,qualifiers,,National Teams,Women,Senior,,Qualifiers for the Women's Olympic Football Tournament,asia_afc_women_s_olympic_qualifying.png
AFC,,AFC U-20 Women Asian Cup,cup,,National Teams,Women,Youth,,,asia_afc_u_20_women_asian_cup.png
AFC,,AFC U-20 Women Asian Cup Qualifiers,qualifiers,,National Teams,Women,Youth,,Qualifiers for AFC U-20 Women Asian Cup,asia_afc_u_20_women_asian_cup_qualifiers.png
AFC,,AFC U-17 Women Asian Cup,cup,,National Teams,Women,Youth,,,asia_afc_u_17_women_asian_cup.png
AFC,,AFC U-17 Women Asian Cup Qualifiers,qualifiers,,National Teams,Women,Youth,,Qualifiers for AFC U-17 Women Asian Cup,asia_afc_u_17_women_asian_cup_qualifiers.png
AFC,Bahrain,Super Cup,cup,,Super Cup,Men,Senior,,,bahrain_super_cup.png
AFC,Brunei,Sumbangsih Cup,cup,,Super Cup,Men,Senior,,,brunei_darussalam_sumbangsih_cup.png
AFC,Cambodia,Cambodian Super Cup,cup,,Super Cup,Men,Senior,,,cambodia_cambodian_super_cup.png
AFC,China PR,China Super Cup,super_cup,,Super Cup,Men,Senior,,,china_pr_china_super_cup.png
AFC,Ghana,Super Cup,cup,,Super Cup,Men,Senior,,,ghana_super_cup.png
AFC,Guinea,Guinea Super Cup,super_cup,,Super Cup,Men,Senior,,,guinea_guinea_super_cup.png
AFC,India,Indian Super Cup,cup,,Super Cup,Men,Senior,,,india_indian_super_cup.png
AFC,Iraq,Iraqi Super Cup,cup,,Super Cup,Men,Senior,,,iraq_iraqi_super_cup.png
AFC,Japan,Super Cup,cup,,Super Cup,Men,Senior,,,japan_super_cup.png
AFC,Jordan,Jordan Super Cup,cup,,Super Cup,Men,Senior,,,jordan_jordan_super_cup.png
AFC,South Korea,Korean Super Cup,cup,,Super Cup,Men,Senior,,,korea_republic_korean_super_cup.png
AFC,Kuwait,Super Cup,cup,,Super Cup,Men,Senior,,,kuwait_super_cup.png
AFC,Kyrgyzstan,Superkubok,cup,,Super Cup,Men,Senior,,,kyrgyz_republic_superkubok.png
AFC,Lebanon,Super Cup,cup,,Super Cup,Men,Senior,,,lebanon_super_cup.png
AFC,Lebanon,Women's Super Cup,cup,,Super Cup,Women,Senior,,,lebanon_women_s_super_cup.png
AFC,Malaysia,Piala Sumbangsih,cup,,Super Cup,Men,Senior,,,malaysia_piala_sumbangsih.png
AFC,Maldives,Charity Shield,cup,,Super Cup,Men,Senior,,,maldives_charity_shield.png
AFC,Mongolia,MFF Super Cup,cup,,Super Cup,Men,Senior,,,mongolia_mff_super_cup.png
AFC,Myanmar,MFF Charity Cup,cup,,Super Cup,Men,Senior,,,myanmar_mff_charity_cup.png
AFC,Oman,Oman Super Cup,cup,,Super Cup,Men,Senior,,,oman_oman_super_cup.png
AFC,Qatar,Sheikh Jassem Cup,cup,,Super Cup,Men,Senior,,,qatar_sheikh_jassem_cup.png
AFC,Réunion,Trophée des Champions LRF,cup,,Super Cup,Men,Senior,,,reunion_trophee_des_champions_lrf.png
AFC,Saudi Arabia,Saudi Super Cup,cup,,Super Cup,Men,Senior,,,saudi_arabia_saudi_super_cup.png
AFC,Saudi Arabia,Saudi Women's Super Cup,super_cup,,Super Cup,Women,Senior,,,saudi_arabia_saudi_women_s_super_cup.png
AFC,Singapore,Singapore Community Shield,cup,,Super Cup,Men,Senior,,,singapore_singapore_community_shield.png
