name,confed_ass_id,fifa_code,flag_filename,status,nat_association,sub_confederation
Afghanistan,AFC,AFG,afg.png,active,Afghanistan Football Federation,CAFA
Albania,UEFA,ALB,alb.png,active,Albanian Football Association,
Algeria,CAF,ALG,alg.png,active,Algerian Football Federation,UNAF
American Samoa,OFC,ASA,asa.png,active,Football Federation American Samoa,
Andorra,UEFA,AND,and.png,active,Andorran Football Federation,
Angola,CAF,ANG,ang.png,active,Angolan Football Federation,COSAFA
Anguilla,CONCACAF,AIA,aia.png,active,Anguilla Football Association,CFU
Antigua & Barbuda,CONCACAF,ATG,atg.png,active,Antigua and Barbuda Football Association,CFU
Argentina,CONMEBOL,ARG,arg.png,active,Argentine Football Association,
Armenia,UEFA,ARM,arm.png,active,Football Federation of Armenia,
Aruba,CONCACAF,ARU,aru.png,active,Aruba Football Federation,CFU
Australia,AFC,AUS,aus.png,active,Football Australia,AFF
Austria,UEFA,AUT,aut.png,active,Austrian Football Association,
Azerbaijan,UEFA,AZE,aze.png,active,Association of Football Federations of Azerbaijan,
Bahamas,CONCACAF,BAH,bah.png,active,Bahamas Football Association,CFU
Bahrain,AFC,BHR,bhr.png,active,Bahrain Football Association,WAFF
Bangladesh,AFC,BAN,ban.png,active,Bangladesh Football Federation,SAFF
Barbados,CONCACAF,BRB,brb.png,active,Barbados Football Association,CFU
Belarus,UEFA,BLR,blr.png,active,Football Federation of Belarus,
Belgium,UEFA,BEL,bel.png,active,Royal Belgian Football Association,
Belize,CONCACAF,BLZ,blz.png,active,Football Federation of Belize,UNCAF
Benin,CAF,BEN,ben.png,active,Benin Football Federation,WAFU-UFOA
Bermuda,CONCACAF,BER,ber.png,active,Bermuda Football Association,CFU
Bhutan,AFC,BHU,bhu.png,active,Bhutan Football Federation,SAFF
Bolivia,CONMEBOL,BOL,bol.png,active,Bolivian Football Federation,
Bonaire,CONCACAF,BOE,boe.png,active,Bonaire Football Federation,CFU
Bosnia & Herzegovina,UEFA,BIH,bih.png,active,Football Association of Bosnia and Herzegovina,
Botswana,CAF,BOT,bot.png,active,Botswana Football Association,COSAFA
Brazil,CONMEBOL,BRA,bra.png,active,Brazilian Football Confederation,
British Virgin Islands,CONCACAF,VGB,vgb.png,active,British Virgin Islands Football Association,CFU
